	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0094432830811","-0.00501888990402222"
"2","0.021707","-19.9595489501953","-0.00502052530646324"
"3","0.043414","-19.9093437194824","-0.00501686939969659"
"4","0.065122","-19.8595199584961","-0.00501233944669366"
"5","0.086829","-19.809497833252","-0.00501072499901056"
"6","0.108536","-19.7591934204102","-0.00501230359077454"
"7","0.130243","-19.7092723846436","-0.00501278275623918"
"8","0.15195","-19.6593055725098","-0.00501127820461988"
"9","0.173657","-19.6093921661377","-0.00500960694625974"
"10","0.195364","-19.559139251709","-0.00500910263508558"
"11","0.217071","-19.5093746185303","-0.00500713102519512"
"12","0.238778","-19.4593811035156","-0.00500465603545308"
"13","0.260485","-19.4091987609863","-0.00500310771167278"
"14","0.282192","-19.3593502044678","-0.00500199431553483"
"15","0.3039","-19.3094367980957","-0.00500136381015182"
"16","0.325607","-19.2592849731445","-0.00500146392732859"
"17","0.347314","-19.2093067169189","-0.00500092981383204"
"18","0.369021","-19.159294128418","-0.00500029325485229"
"19","0.390728","-19.1091194152832","-0.00499956728890538"
"20","0.412435","-19.0591793060303","-0.00499964924529195"
"21","0.434142","-19.0092582702637","-0.00500340573489666"
"22","0.45585","-18.9593925476074","-0.00500276684761047"
"23","0.477557","-18.9091320037842","-0.00500245904549956"
"24","0.499264","-18.8592491149902","-0.00500183086842299"
"25","0.520971","-18.8092956542969","-0.00500099267810583"
"26","0.542679","-18.7590045928955","-0.00500040408223867"
"27","0.564386","-18.7090721130371","-0.00499941688030958"
"28","0.586093","-18.6591243743896","-0.00499859685078263"
"29","0.6078","-18.6089096069336","-0.00499751325696707"
"30","0.629508","-18.5590267181396","-0.0049966131336987"
"31","0.651215","-18.5090675354004","-0.00499576656147838"
"32","0.672922","-18.4587879180908","-0.00499489437788725"
"33","0.694629","-18.4088802337646","-0.00499413488432765"
"34","0.716337","-18.3589172363281","-0.00499341217800975"
"35","0.738044","-18.3090877532959","-0.00499254325404763"
"36","0.759751","-18.2587928771973","-0.00499156443402171"
"37","0.781459","-18.2088947296143","-0.0049904310144484"
"38","0.803167","-18.1588573455811","-0.00498962495476007"
"39","0.824874","-18.1086311340332","-0.00498857628554106"
"40","0.846581","-18.0586891174316","-0.00498761655762792"
"41","0.868289","-18.0088119506836","-0.00498648872599006"
"42","0.889996","-17.9585075378418","-0.00498542422428727"
"43","0.911704","-17.9087104797363","-0.00498461583629251"
"44","0.933411","-17.858757019043","-0.00498371850699186"
"45","0.955118","-17.8085117340088","-0.00498262979090214"
"46","0.976826","-17.7586250305176","-0.00498167145997286"
"47","0.998533","-17.7086410522461","-0.00498066190630198"
"48","1.02024","-17.6583137512207","-0.00497988192364573"
"49","1.041947","-17.6084632873535","-0.00497902976348996"
"50","1.063654","-17.5584678649902","-0.00497797457501292"
"51","1.085361","-17.5086059570313","-0.00497713312506676"
"52","1.107068","-17.4584808349609","-0.00497625209391117"
"53","1.128775","-17.4083709716797","-0.00497514614835382"
"54","1.150482","-17.3584270477295","-0.0049742697738111"
"55","1.172189","-17.3081893920898","-0.00497319316491485"
"56","1.193897","-17.2582454681396","-0.00497225252911448"
"57","1.215604","-17.2083835601807","-0.00497125368565321"
"58","1.237311","-17.1581420898438","-0.00497019058093429"
"59","1.259018","-17.1081371307373","-0.00496917497366667"
"60","1.280725","-17.0582427978516","-0.00496822828426957"
"61","1.302432","-17.0079536437988","-0.00496719963848591"
"62","1.324139","-16.9580459594727","-0.00496590975672007"
"63","1.345846","-16.9082431793213","-0.00496488902717829"
"64","1.367553","-16.8582191467285","-0.00496387807652354"
"65","1.389261","-16.8079528808594","-0.00496298307552934"
"66","1.410968","-16.7580108642578","-0.00496190041303635"
"67","1.432675","-16.7080669403076","-0.00496106734499335"
"68","1.454382","-16.6579074859619","-0.00496031390503049"
"69","1.47609","-16.6079425811768","-0.00495929364115"
"70","1.497797","-16.5580444335938","-0.00495827291160822"
"71","1.519504","-16.5078048706055","-0.00495735881850123"
"72","1.541211","-16.4578704833984","-0.00495642656460404"
"73","1.562919","-16.4079189300537","-0.00495556462556124"
"74","1.584626","-16.3575973510742","-0.00495467660948634"
"75","1.606333","-16.3076858520508","-0.00495362980291247"
"76","1.62804","-16.2578601837158","-0.00495266169309616"
"77","1.649747","-16.2078475952148","-0.00495184166356921"
"78","1.671454","-16.1577072143555","-0.00495077343657613"
"79","1.693161","-16.1076774597168","-0.00494999764487147"
"80","1.714868","-16.0577430725098","-0.00494909891858697"
"81","1.736575","-16.0076026916504","-0.0049480483867228"
"82","1.758282","-15.9576320648193","-0.00494702439755201"
"83","1.779989","-15.9076385498047","-0.00494619598612189"
"84","1.801696","-15.857458114624","-0.00494513381272554"
"85","1.823403","-15.8074836730957","-0.00494425185024738"
"86","1.84511","-15.7575559616089","-0.00494323251768947"
"87","1.866818","-15.707332611084","-0.00494220620021224"
"88","1.888525","-15.6574010848999","-0.00494097825139761"
"89","1.910232","-15.6074028015137","-0.00493999477475882"
"90","1.93194","-15.5574150085449","-0.00493882270529866"
"91","1.953647","-15.5072021484375","-0.00493780616670847"
"92","1.975355","-15.4572725296021","-0.00493666622787714"
"93","1.997062","-15.4073858261108","-0.00493558775633574"
"94","2.018769","-15.3570890426636","-0.00493456842377782"
"95","2.040477","-15.3073863983154","-0.00493354676291347"
"96","2.062184","-15.2573566436768","-0.00493230950087309"
"97","2.083891","-15.2071208953857","-0.00493111135438085"
"98","2.105598","-15.1571130752563","-0.00493027176707983"
"99","2.127305","-15.1072883605957","-0.00492913229390979"
"100","2.149012","-15.0570583343506","-0.00492787593975663"
"101","2.170719","-15.0070552825928","-0.00492674438282847"
"102","2.192427","-14.9572105407715","-0.0049256575293839"
"103","2.214134","-14.9071960449219","-0.00492447940632701"
"104","2.235841","-14.8570613861084","-0.00492336135357618"
"105","2.257548","-14.8070335388184","-0.00492227170616388"
"106","2.279255","-14.7571468353271","-0.00492099253460765"
"107","2.300962","-14.7068500518799","-0.00491998298093677"
"108","2.322669","-14.6568632125854","-0.00491867074742913"
"109","2.344376","-14.606990814209","-0.00491739716380835"
"110","2.366084","-14.5568132400513","-0.00491617666557431"
"111","2.387791","-14.5068435668945","-0.00491522438824177"
"112","2.409498","-14.4568681716919","-0.00491408677771688"
"113","2.431205","-14.4065647125244","-0.00491291750222445"
"114","2.452913","-14.3566942214966","-0.00491178128868341"
"115","2.47462","-14.3067646026611","-0.00491076707839966"
"116","2.496327","-14.2564945220947","-0.0049095950089395"
"117","2.518034","-14.206506729126","-0.00490838615223765"
"118","2.539741","-14.1566009521484","-0.00490741012617946"
"119","2.561448","-14.1067771911621","-0.00490616681054235"
"120","2.583156","-14.0565776824951","-0.00490502687171102"
"121","2.604863","-14.006609916687","-0.00490394327789545"
"122","2.62657","-13.9566402435303","-0.00490282149985433"
"123","2.648277","-13.9065170288086","-0.00490167364478111"
"124","2.669984","-13.8565540313721","-0.00490061054006219"
"125","2.691691","-13.8066787719727","-0.00489969365298748"
