	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0107421875","-0.0014978920808062"
"2","0.021707","-19.9608459472656","-0.00149765959940851"
"3","0.043414","-19.9106006622314","-0.00149676075670868"
"4","0.065121","-19.8607063293457","-0.00149574992246926"
"5","0.086828","-19.8107490539551","-0.00149506563320756"
"6","0.108535","-19.7604713439941","-0.00149484630674124"
"7","0.130242","-19.7105884552002","-0.00149589183274657"
"8","0.151949","-19.660623550415","-0.0014953255886212"
"9","0.173656","-19.610710144043","-0.0014947735471651"
"10","0.195363","-19.560510635376","-0.00149424187839031"
"11","0.21707","-19.5106983184814","-0.00149239413440228"
"12","0.238777","-19.4607925415039","-0.00149084441363811"
"13","0.260484","-19.4106025695801","-0.00148956419434398"
"14","0.282191","-19.360725402832","-0.0014886271674186"
"15","0.303898","-19.3108177185059","-0.0014879023656249"
"16","0.325605","-19.2606315612793","-0.0014875722117722"
"17","0.347312","-19.210693359375","-0.00148715497925878"
"18","0.369018","-19.1607265472412","-0.00148682831786573"
"19","0.390725","-19.1105632781982","-0.00148639793042094"
"20","0.412432","-19.0606231689453","-0.00148597708903253"
"21","0.434139","-19.010669708252","-0.00148562307003886"
"22","0.455846","-18.9607353210449","-0.00148521782830358"
"23","0.477553","-18.9104766845703","-0.00148482678923756"
"24","0.499259","-18.8605213165283","-0.00148432492278516"
"25","0.520966","-18.8106155395508","-0.0014838456409052"
"26","0.542672","-18.7604312896729","-0.00148346775677055"
"27","0.564379","-18.7104625701904","-0.00148303504101932"
"28","0.586086","-18.6604881286621","-0.0014826690312475"
"29","0.607793","-18.6102962493896","-0.00148221850395203"
"30","0.6295","-18.5603542327881","-0.00148184411227703"
"31","0.651207","-18.510440826416","-0.00148135062772781"
"32","0.672913","-18.4602069854736","-0.00148079753853381"
"33","0.69462","-18.4102745056152","-0.00148024561349303"
"34","0.716327","-18.3603172302246","-0.00147988554090261"
"35","0.738034","-18.3104152679443","-0.00147924420889467"
"36","0.759741","-18.2601776123047","-0.00147910474333912"
"37","0.781448","-18.2103061676025","-0.00147846934851259"
"38","0.803154","-18.1603126525879","-0.00147807004395872"
"39","0.824861","-18.1100749969482","-0.00147761218249798"
"40","0.846568","-18.060188293457","-0.00147733918856829"
"41","0.868275","-18.0102462768555","-0.00147689098957926"
"42","0.889982","-17.9600105285645","-0.00147644034586847"
"43","0.911689","-17.910083770752","-0.0014758741017431"
"44","0.933396","-17.8601341247559","-0.00147546164225787"
"45","0.955103","-17.809886932373","-0.00147499912418425"
"46","0.97681","-17.7599678039551","-0.00147448177449405"
"47","0.998517","-17.7101402282715","-0.0014740324113518"
"48","1.020224","-17.6598072052002","-0.00147259351797402"
"49","1.041931","-17.6099109649658","-0.00147272110916674"
"50","1.063637","-17.5599822998047","-0.00147278897929937"
"51","1.085344","-17.5100421905518","-0.00147233007010072"
"52","1.107051","-17.4598083496094","-0.00147182226646692"
"53","1.128758","-17.4098091125488","-0.00147159211337566"
"54","1.150465","-17.3599071502686","-0.0014712642878294"
"55","1.172172","-17.3097305297852","-0.00147076486609876"
"56","1.193878","-17.2597160339355","-0.0014702141052112"
"57","1.215585","-17.2098236083984","-0.00146999827120453"
"58","1.237291","-17.1595802307129","-0.00146940827835351"
