	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0110740661621","-0.000307611015159637"
"2","0.021707","-19.9611568450928","-0.000308283109916374"
"3","0.043413","-19.9109630584717","-0.000308153656078503"
"4","0.065119","-19.8610076904297","-0.000308039336232468"
"5","0.086826","-19.8110599517822","-0.000307888520183042"
"6","0.108532","-19.7608032226563","-0.00030768575379625"
"7","0.130238","-19.7108860015869","-0.000307511101709679"
"8","0.151944","-19.6609497070313","-0.000307337904814631"
"9","0.17365","-19.6110076904297","-0.000307112582959235"
"10","0.195357","-19.5608234405518","-0.000306968693621457"
"11","0.217064","-19.5109729766846","-0.000306835427181795"
"12","0.23877","-19.4610939025879","-0.000306545261992142"
"13","0.260477","-19.4109382629395","-0.000306354544591159"
"14","0.282183","-19.3610343933105","-0.000306036497931927"
"15","0.303889","-19.3111782073975","-0.000305920839309692"
"16","0.325596","-19.2609329223633","-0.000305657391436398"
"17","0.347303","-19.2109832763672","-0.000305497174849734"
"18","0.369009","-19.1610565185547","-0.000305625697365031"
"19","0.390716","-19.1108322143555","-0.000305422436213121"
"20","0.412422","-19.060905456543","-0.000305121560813859"
"21","0.434128","-19.0109729766846","-0.000304958113702014"
"22","0.455835","-18.9610595703125","-0.000304790039081126"
"23","0.477541","-18.9107666015625","-0.00030464818701148"
"24","0.499248","-18.8608665466309","-0.000304455665173009"
"25","0.520955","-18.810941696167","-0.000304269080515951"
"26","0.542661","-18.7606925964355","-0.000304105051327497"
