	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0107803344727","-0.00101748225279152"
"2","0.021707","-19.960865020752","-0.00101765745785087"
"3","0.043413","-19.9106292724609","-0.00101734756026417"
"4","0.065119","-19.8607177734375","-0.00101680750958622"
"5","0.086825","-19.810754776001","-0.00101643684320152"
"6","0.108531","-19.7604732513428","-0.00101640936918557"
"7","0.130237","-19.7105560302734","-0.00101616617757827"
"8","0.151944","-19.660623550415","-0.00101552368141711"
"9","0.17365","-19.610725402832","-0.00101487152278423"
"10","0.195357","-19.5604705810547","-0.00101443531457335"
"11","0.217064","-19.5106353759766","-0.00101297500077635"
"12","0.23877","-19.4607753753662","-0.00101158977486193"
"13","0.260477","-19.4106121063232","-0.00101047987118363"
"14","0.282184","-19.3607215881348","-0.00100961804855615"
"15","0.303891","-19.3108825683594","-0.00100895762443542"
"16","0.325597","-19.260627746582","-0.00100868463050574"
"17","0.347303","-19.2106800079346","-0.0010083174565807"
"18","0.369009","-19.1607666015625","-0.0010080790380016"
"19","0.390716","-19.1105632781982","-0.00100786925759166"
"20","0.412423","-19.060640335083","-0.00100756762549281"
"21","0.43413","-19.0106563568115","-0.0010071670403704"
"22","0.455837","-18.9607315063477","-0.00100690010003746"
"23","0.477543","-18.9105205535889","-0.00100670813117176"
"24","0.49925","-18.8605403900146","-0.00100655795540661"
"25","0.520957","-18.8106307983398","-0.00100628368090838"
"26","0.542664","-18.7603797912598","-0.00100585701875389"
