	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0112037658691","-0.000530828139744699"
"2","0.021707","-19.9612655639648","-0.000530704273842275"
"3","0.043414","-19.911075592041","-0.000530546240042895"
"4","0.065121","-19.8611297607422","-0.000530391000211239"
"5","0.086827","-19.8111877441406","-0.000530212069861591"
"6","0.108534","-19.7609558105469","-0.000530029821675271"
"7","0.13024","-19.7109985351563","-0.000529843848198652"
"8","0.151947","-19.6611175537109","-0.00052965380018577"
"9","0.173654","-19.6111526489258","-0.000529461074620485"
"10","0.195361","-19.5609302520752","-0.000529262470081449"
"11","0.217068","-19.5111198425293","-0.00052904908079654"
"12","0.238775","-19.461238861084","-0.00052884261822328"
"13","0.260481","-19.4110717773438","-0.000528634700458497"
"14","0.282187","-19.3611793518066","-0.000528420729096979"
"15","0.303894","-19.3112850189209","-0.000528207689058036"
"16","0.3256","-19.2610702514648","-0.000528000353369862"
"17","0.347307","-19.2110939025879","-0.000527785334270447"
"18","0.369013","-19.1611766815186","-0.000527583993971348"
"19","0.390719","-19.1109504699707","-0.000527360243722796"
"20","0.412427","-19.0610332489014","-0.000527156400494277"
"21","0.434133","-19.0110988616943","-0.000526945746969432"
"22","0.455839","-18.9611358642578","-0.000526734394952655"
"23","0.477545","-18.9109001159668","-0.000526523974258453"
"24","0.499251","-18.8609733581543","-0.000526317395269871"
"25","0.520958","-18.8110580444336","-0.000526106276083738"
"26","0.542665","-18.7608337402344","-0.000525898940395564"
"27","0.564372","-18.7108573913574","-0.000525680196005851"
"28","0.586079","-18.6609344482422","-0.000525469658896327"
"29","0.607786","-18.6106472015381","-0.000525246432516724"
"30","0.629492","-18.5607643127441","-0.000525035662576556"
"31","0.651199","-18.5108585357666","-0.000524812028743327"
"32","0.672906","-18.4606246948242","-0.000524598406627774"
"33","0.694612","-18.4106826782227","-0.000524371745996177"
"34","0.716319","-18.3607635498047","-0.000524156261235476"
"35","0.738026","-18.3108539581299","-0.000523943454027176"
"36","0.759732","-18.260591506958","-0.000523723836522549"
"37","0.781438","-18.2106685638428","-0.000523508584592491"
"38","0.803145","-18.1607341766357","-0.000523290655110031"
"39","0.824852","-18.1105155944824","-0.000523074879311025"
"40","0.846559","-18.0605697631836","-0.000522849848493934"
"41","0.868266","-18.0106372833252","-0.000522620801348239"
"42","0.889973","-17.9604225158691","-0.000522390997502953"
"43","0.911679","-17.9104690551758","-0.000522172485943884"
"44","0.933385","-17.8605690002441","-0.000521945010405034"
"45","0.955091","-17.8103408813477","-0.0005217274883762"
"46","0.976798","-17.7603816986084","-0.000521499430760741"
"47","0.998505","-17.710563659668","-0.000521274690981954"
"48","1.020212","-17.6601524353027","-0.000521049776580185"
"49","1.041919","-17.6102619171143","-0.000520831381436437"
"50","1.063626","-17.5603294372559","-0.000520610949024558"
"51","1.085332","-17.5104293823242","-0.000520389468874782"
"52","1.107039","-17.4601669311523","-0.000520156521815807"
"53","1.128746","-17.4102325439453","-0.000519929802976549"
"54","1.150452","-17.3603134155273","-0.000519695284310728"
"55","1.172158","-17.3100395202637","-0.000519476539921016"
"56","1.193864","-17.2601299285889","-0.00051923660794273"
"57","1.215571","-17.2101974487305","-0.000519020366482437"
"58","1.237278","-17.159969329834","-0.00051877525402233"
"59","1.258984","-17.1100444793701","-0.00051855092169717"
"60","1.28069","-17.0600891113281","-0.000518322514835745"
"61","1.302397","-17.009838104248","-0.000518085376825184"
"62","1.324104","-16.9599227905273","-0.000517851614858955"
"63","1.345811","-16.910026550293","-0.000517619133461267"
"64","1.367518","-16.8600692749023","-0.000517383508849889"
"65","1.389225","-16.8098468780518","-0.000517146603669971"
"66","1.410931","-16.759895324707","-0.000516919884830713"
"67","1.432638","-16.7099552154541","-0.000516688858624548"
"68","1.454345","-16.6597862243652","-0.000516445550601929"
"69","1.476051","-16.6098003387451","-0.000516225351020694"
"70","1.497758","-16.559886932373","-0.000515988271217793"
"71","1.519464","-16.5096740722656","-0.000515761494170874"
"72","1.541171","-16.4597473144531","-0.000515521911438555"
"73","1.562878","-16.4097766876221","-0.000515282445121557"
"74","1.584584","-16.3595123291016","-0.000515040766913444"
"75","1.606291","-16.3096046447754","-0.000514809740707278"
"76","1.627998","-16.2596874237061","-0.000514564686454833"
"77","1.649704","-16.2097663879395","-0.000514327315613627"
"78","1.671411","-16.1595649719238","-0.000514083891175687"
"79","1.693118","-16.1096000671387","-0.000513847160618752"
"80","1.714824","-16.0596580505371","-0.000513601815328002"
"81","1.736531","-16.009449005127","-0.000513369916006923"
"82","1.758238","-15.9595155715942","-0.000513118749950081"
"83","1.779945","-15.9095840454102","-0.00051289249677211"
"84","1.801651","-15.8593444824219","-0.000512639409862459"
"85","1.823358","-15.8094024658203","-0.000512399827130139"
"86","1.845064","-15.7594633102417","-0.000512161990627646"
"87","1.866771","-15.7092399597168","-0.000511908787302673"
"88","1.888478","-15.6593341827393","-0.00051166646881029"
"89","1.910185","-15.6094264984131","-0.000511427177116275"
"90","1.931891","-15.5595188140869","-0.000511181482579559"
"91","1.953598","-15.5092029571533","-0.000510935904458165"
"92","1.975305","-15.4593133926392","-0.000510686659254134"
"93","1.997011","-15.4093341827393","-0.000510445039253682"
"94","2.018717","-15.359206199646","-0.000510195968672633"
"95","2.040423","-15.3092174530029","-0.00050994852790609"
"96","2.062129","-15.2592611312866","-0.000509703648276627"
"97","2.083836","-15.2090339660645","-0.000509458594024181"
"98","2.105543","-15.1591205596924","-0.000509203702677041"
"99","2.12725","-15.1091938018799","-0.00050895573804155"
"100","2.148957","-15.0589294433594","-0.000508706143591553"
"101","2.170664","-15.0089950561523","-0.000508456490933895"
"102","2.19237","-14.9590663909912","-0.000508205441292375"
"103","2.214077","-14.9091701507568","-0.000507948570884764"
"104","2.235784","-14.8589372634888","-0.000507698568981141"
"105","2.25749","-14.8089618682861","-0.000507444667164236"
"106","2.279197","-14.759033203125","-0.000507192977238446"
"107","2.300904","-14.7087841033936","-0.000506937387399375"
"108","2.322611","-14.6588497161865","-0.000506678712554276"
"109","2.344318","-14.6089725494385","-0.000506431388203055"
"110","2.366024","-14.558744430542","-0.000506174226757139"
"111","2.38773","-14.5088195800781","-0.000505926844198257"
"112","2.409437","-14.4588584899902","-0.00050566962454468"
"113","2.431143","-14.4086093902588","-0.000505418458487839"
"114","2.452849","-14.3587064743042","-0.000505162635818124"
"115","2.474556","-14.3087844848633","-0.000504915486089885"
"116","2.496263","-14.2585182189941","-0.000504656811244786"
"117","2.517969","-14.2085695266724","-0.000504400872159749"
"118","2.539675","-14.1586666107178","-0.000504142430145293"
"119","2.561382","-14.1087799072266","-0.000503879331517965"
"120","2.583089","-14.0585517883301","-0.0005036203074269"
"121","2.604795","-14.0086126327515","-0.000503362214658409"
"122","2.626501","-13.9586782455444","-0.000503094808664173"
"123","2.648207","-13.9084415435791","-0.000502828741446137"
"124","2.669914","-13.8584995269775","-0.000502571580000222"
"125","2.691621","-13.808572769165","-0.000502312206663191"
"126","2.713327","-13.7583084106445","-0.000502050679642707"
"127","2.735033","-13.7083644866943","-0.000501790666021407"
"128","2.756739","-13.6584548950195","-0.000501527450978756"
"129","2.778446","-13.608190536499","-0.000501262431498617"
"130","2.800153","-13.5583190917969","-0.000501000555232167"
"131","2.821859","-13.5083751678467","-0.000500742346048355"
"132","2.843565","-13.4583930969238","-0.000500478025060147"
"133","2.865272","-13.4081954956055","-0.000500211957842112"
"134","2.886979","-13.3582420349121","-0.000499944610055536"
"135","2.908686","-13.3083457946777","-0.000499678018968552"
"136","2.930393","-13.2580471038818","-0.000499409681651741"
"137","2.9521","-13.2081813812256","-0.000499145418871194"
"138","2.973806","-13.1582164764404","-0.000498874695040286"
"139","2.995512","-13.107946395874","-0.000498610374052078"
"140","3.017219","-13.0580568313599","-0.000498345063533634"
"141","3.038926","-13.0081081390381","-0.00049807911273092"
"142","3.060632","-12.9579277038574","-0.000497808621730655"
