	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0094528198242","-0.00484493374824524"
"2","0.021708","-19.9594421386719","-0.00484454864636064"
"3","0.043415","-19.9093208312988","-0.00484258029609919"
"4","0.065123","-19.859317779541","-0.0048403749242425"
"5","0.08683","-19.8094730377197","-0.00483926525339484"
"6","0.108537","-19.7591209411621","-0.00483913626521826"
"7","0.130245","-19.7091846466064","-0.00483876327052712"
"8","0.151952","-19.6593074798584","-0.00483683217316866"
"9","0.173659","-19.6093349456787","-0.0048367902636528"
"10","0.195366","-19.5591144561768","-0.00483559118583798"
"11","0.217074","-19.5092945098877","-0.00483344681560993"
"12","0.238781","-19.4594421386719","-0.00483036646619439"
"13","0.260488","-19.4091758728027","-0.00482797855511308"
"14","0.282196","-19.3593063354492","-0.00482730753719807"
"15","0.303903","-19.3093605041504","-0.00482794269919395"
"16","0.32561","-19.2592391967773","-0.00482817040756345"
"17","0.347317","-19.2093067169189","-0.00482739415019751"
"18","0.369024","-19.1593284606934","-0.004825450014323"
"19","0.390731","-19.1090679168701","-0.00482594734057784"
"20","0.412438","-19.0592002868652","-0.00482506863772869"
"21","0.434145","-19.0092735290527","-0.00482306489720941"
"22","0.455853","-18.9594383239746","-0.004823197145015"
"23","0.47756","-18.9091033935547","-0.004822070710361"
"24","0.499268","-18.8591556549072","-0.00482241623103619"
"25","0.520975","-18.8093013763428","-0.00482166046276689"
"26","0.542682","-18.7590713500977","-0.00482058990746737"
